id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2004003,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,1,10.30
2013003,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,1,10.25
2011004,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.00,1,10.12
2012002,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,1,9.90
1996002,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0,9.87
2010005,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,1,9.86
1997001,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,1,9.72
2012003,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,1,9.71
1999001,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0,9.49
2010006,Just Dance 2,Wii,2010,Misc,Ubisoft,5.80,2.85,0.01,1,9.44
2013004,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.10,3.63,0.38,1,9.36
2007003,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,1,9.31
1994000,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.00,0,9.30
2013005,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.70,2.65,0.02,1,9.18
2012004,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0,9.16
2007004,Mario Party DS,DS,2007,Misc,Nintendo,4.40,1.85,1.98,1,8.91
2011005,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.10,1,8.79
1992001,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0,8.76
2015001,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1,8.57
2004004,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0,8.49
2010007,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,1,8.38
2007005,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,1,8.27
2012005,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,2,8.16
1997002,GoldenEye 007,N64,1997,Shooter,Nintendo,5.80,2.01,0.13,0,8.09
2012006,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0,8.07
2001002,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0,8.05
2009006,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.00,1,8.01
2007006,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,1,7.99
2015002,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1,7.98
1999002,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0,7.86
1982000,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.00,0,7.81
